Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,3151106454.54,9504865.88,331.5256,331.5256,328.2104,2019-01-03
Watoto Fund,3149735642.12,9502664.57,331.4582,331.4582,328.1436,2019-01-02
Watoto Fund,3154304186.29,9501007.93,331.9968,331.9968,328.6768,2018-12-31
Watoto Fund,3151174156.63,9497364.06,331.7946,331.7946,328.4767,2018-12-28
Watoto Fund,3168340399.86,9551116.59,331.7246,331.7246,328.4074,2018-12-27
Watoto Fund,3165573519.85,9548552.55,331.5239,331.5239,328.2087,2018-12-24
Watoto Fund,3163554425.06,9548250.73,331.3229,331.3229,328.0097,2018-12-21
Watoto Fund,3160445108.16,9540794.17,331.256,331.256,327.9434,2018-12-20
Watoto Fund,3155029991.45,9526376.38,331.1889,331.1889,327.877,2018-12-19
Watoto Fund,3157798613.88,9536984.56,331.1108,331.1108,327.7997,2018-12-18
Watoto Fund,3155958911.95,9533359.3,331.0437,331.0437,327.7333,2018-12-17
Watoto Fund,3153468035.59,9531642.45,330.842,330.842,327.5336,2018-12-14
Watoto Fund,3152818991.9,9531618.26,330.7748,330.7748,327.467,2018-12-13
Watoto Fund,3151773987.99,9530393.61,330.7076,330.7076,327.4006,2018-12-12
Watoto Fund,3154117181.2,9539940.96,330.6223,330.6223,327.3161,2018-12-11
Watoto Fund,3157065573.35,9538460.43,330.9827,330.9827,327.6729,2018-12-10
Watoto Fund,3153815423.08,9534363.72,330.784,330.784,327.4762,2018-12-07
Watoto Fund,3152789708.21,9533200.58,330.7168,330.7168,327.4096,2018-12-06
Watoto Fund,3150837490.26,9532474.35,330.5372,330.5372,327.2318,2018-12-05
Watoto Fund,3149582170.33,9530613.33,330.47,330.47,327.1653,2018-12-04
Watoto Fund,3152297217.69,9540780.41,330.4024,330.4024,327.0984,2018-12-03
Watoto Fund,3147119519.57,9530936.35,330.2005,330.2005,326.8985,2018-11-30
Watoto Fund,3145981882.18,9529436.95,330.133,330.133,326.8317,2018-11-29
Watoto Fund,3144179339.48,9525922.22,330.0656,330.0656,326.765,2018-11-28
Watoto Fund,3152562743.54,9565736.29,329.5682,329.5682,326.2725,2018-11-27
Watoto Fund,3148922021.41,9556631.62,329.5012,329.5012,326.2062,2018-11-26
Watoto Fund,3146910840.68,9556363.99,329.3,329.3,326.007,2018-11-23
Watoto Fund,3145959638.65,9555422.4,329.2329,329.2329,325.9406,2018-11-22
Watoto Fund,3142833850.84,9547872.51,329.1659,329.1659,325.8742,2018-11-21
Watoto Fund,3141149476.95,9546648.0,329.0317,329.0317,325.7413,2018-11-19
Watoto Fund,3139099957.02,9546267.86,328.8301,328.8301,325.5418,2018-11-16
Watoto Fund,3138108335.36,9545203.27,328.7629,328.7629,325.4752,2018-11-15
Watoto Fund,3138874741.29,9544960.32,328.8515,328.8515,325.563,2018-11-14
Watoto Fund,3143238954.4,9542652.63,329.3884,329.3884,326.0945,2018-11-13
Watoto Fund,3145436152.5,9550603.68,329.3442,329.3442,326.0508,2018-11-12
Watoto Fund,3140009265.38,9542084.01,329.0695,329.0695,325.7789,2018-11-09
Watoto Fund,3135615105.83,9530655.3,329.0031,329.0031,325.7131,2018-11-08
