Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Liquid Fund,15259476925.85,86728165.5,175.946,175.946,175.946,2017-11-13
Liquid Fund,15259476925.85,86728165.5,175.946,175.946,175.946,2017-11-13
Liquid Fund,15214672868.69,86566010.72,175.758,175.758,175.758,2017-11-10
Liquid Fund,15214672868.69,86566010.72,175.758,175.758,175.758,2017-11-10
Liquid Fund,15207718148.8,86557473.2,175.695,175.695,175.695,2017-11-09
Liquid Fund,15207718148.8,86557473.2,175.695,175.695,175.695,2017-11-09
Liquid Fund,15268073235.81,86933265.75,175.6298,175.6298,175.6298,2017-11-08
Liquid Fund,15268073235.81,86933265.75,175.6298,175.6298,175.6298,2017-11-08
Liquid Fund,15273992130.16,86999169.53,175.5648,175.5648,175.5648,2017-11-07
Liquid Fund,15273992130.16,86999169.53,175.5648,175.5648,175.5648,2017-11-07
Liquid Fund,15233771487.51,86802112.57,175.5,175.5,175.5,2017-11-06
Liquid Fund,15233771487.51,86802112.57,175.5,175.5,175.5,2017-11-06
Liquid Fund,15160385874.06,86479886.51,175.3053,175.3053,175.3053,2017-11-03
Liquid Fund,15160385874.06,86479886.51,175.3053,175.3053,175.3053,2017-11-03
Liquid Fund,15152251492.68,86465614.0,175.2402,175.2402,175.2402,2017-11-02
Liquid Fund,15152251492.68,86465614.0,175.2402,175.2402,175.2402,2017-11-02
Liquid Fund,15142326061.29,86441125.15,175.175,175.175,175.175,2017-11-01
Liquid Fund,15142326061.29,86441125.15,175.175,175.175,175.175,2017-11-01
Liquid Fund,15174699969.55,86658211.32,175.1098,175.1098,175.1098,2017-10-31
Liquid Fund,15174699969.55,86658211.32,175.1098,175.1098,175.1098,2017-10-31
Liquid Fund,15107149310.27,86304028.15,175.0457,175.0457,175.0457,2017-10-30
Liquid Fund,15107149310.27,86304028.15,175.0457,175.0457,175.0457,2017-10-30
Liquid Fund,15089256851.57,86296593.36,174.8534,174.8534,174.8534,2017-10-27
Liquid Fund,15089256851.57,86296593.36,174.8534,174.8534,174.8534,2017-10-27
Liquid Fund,15064180520.09,86184752.47,174.7894,174.7894,174.7894,2017-10-26
Liquid Fund,15064180520.09,86184752.47,174.7894,174.7894,174.7894,2017-10-26
Liquid Fund,15059867430.73,86191986.77,174.7247,174.7247,174.7247,2017-10-25
Liquid Fund,15059867430.73,86191986.77,174.7247,174.7247,174.7247,2017-10-25
Liquid Fund,14896350614.37,85287369.33,174.6607,174.6607,174.6607,2017-10-24
Liquid Fund,14896350614.37,85287369.33,174.6607,174.6607,174.6607,2017-10-24
Liquid Fund,14757818710.0,84525612.24,174.5958,174.5958,174.5958,2017-10-23
Liquid Fund,14757818710.0,84525612.24,174.5958,174.5958,174.5958,2017-10-23
Liquid Fund,14752414291.94,84589436.94,174.4002,174.4002,174.4002,2017-10-20
Liquid Fund,14752414291.94,84589436.94,174.4002,174.4002,174.4002,2017-10-20
Liquid Fund,14724641104.5,84461559.68,174.3354,174.3354,174.3354,2017-10-19
Liquid Fund,14724641104.5,84461559.68,174.3354,174.3354,174.3354,2017-10-19
Liquid Fund,14676175747.51,84214817.11,174.2707,174.2707,174.2707,2017-10-18
Liquid Fund,14676175747.51,84214817.11,174.2707,174.2707,174.2707,2017-10-18
Liquid Fund,14653703619.26,84117231.33,174.2057,174.2057,174.2057,2017-10-17
Liquid Fund,14653703619.26,84117231.33,174.2057,174.2057,174.2057,2017-10-17
Liquid Fund,14639290208.64,84065983.9,174.1405,174.1405,174.1405,2017-10-16
Liquid Fund,14639290208.64,84065983.9,174.1405,174.1405,174.1405,2017-10-16
Liquid Fund,14591817402.71,83887206.58,173.9457,173.9457,173.9457,2017-10-13
Liquid Fund,14591817402.71,83887206.58,173.9457,173.9457,173.9457,2017-10-13
Liquid Fund,14373890600.97,82665049.6,173.8811,173.8811,173.8811,2017-10-12
Liquid Fund,14373890600.97,82665049.6,173.8811,173.8811,173.8811,2017-10-12
Liquid Fund,14355361294.13,82589670.83,173.8155,173.8155,173.8155,2017-10-11
Liquid Fund,14355361294.13,82589670.83,173.8155,173.8155,173.8155,2017-10-11
Liquid Fund,14393791987.44,82842343.51,173.7492,173.7492,173.7492,2017-10-10
Liquid Fund,14393791987.44,82842343.51,173.7492,173.7492,173.7492,2017-10-10
Liquid Fund,14382061202.78,82806009.66,173.6838,173.6838,173.6838,2017-10-09
Liquid Fund,14382061202.78,82806009.66,173.6838,173.6838,173.6838,2017-10-09
Liquid Fund,14381307904.69,82895656.79,173.4869,173.4869,173.4869,2017-10-06
Liquid Fund,14381307904.69,82895656.79,173.4869,173.4869,173.4869,2017-10-06
Liquid Fund,14347375314.73,82734194.69,173.4153,173.4153,173.4153,2017-10-05
Liquid Fund,14347375314.73,82734194.69,173.4153,173.4153,173.4153,2017-10-05
Liquid Fund,14314130352.87,82572863.62,173.3515,173.3515,173.3515,2017-10-04
Liquid Fund,14314130352.87,82572863.62,173.3515,173.3515,173.3515,2017-10-04
Liquid Fund,14233151564.34,82136851.59,173.2858,173.2858,173.2858,2017-10-03
Liquid Fund,14233151564.34,82136851.59,173.2858,173.2858,173.2858,2017-10-03
Liquid Fund,14389112128.39,83068103.75,173.2207,173.2207,173.2207,2017-10-02
Liquid Fund,14389112128.39,83068103.75,173.2207,173.2207,173.2207,2017-10-02
Liquid Fund,14373064730.31,83068103.75,173.0275,173.0275,173.0275,2017-09-29
Liquid Fund,14373064730.31,83068103.75,173.0275,173.0275,173.0275,2017-09-29
Liquid Fund,14370219302.46,83082568.57,172.9631,172.9631,172.9631,2017-09-28
Liquid Fund,14370219302.46,83082568.57,172.9631,172.9631,172.9631,2017-09-28
Liquid Fund,14412321587.8,83357399.21,172.8979,172.8979,172.8979,2017-09-27
Liquid Fund,14412321587.8,83357399.21,172.8979,172.8979,172.8979,2017-09-27
Liquid Fund,14406923255.03,83357399.21,172.8332,172.8332,172.8332,2017-09-26
Liquid Fund,14406923255.03,83357399.21,172.8332,172.8332,172.8332,2017-09-26
Liquid Fund,14426063290.73,83499619.67,172.768,172.768,172.768,2017-09-25
Liquid Fund,14426063290.73,83499619.67,172.768,172.768,172.768,2017-09-25
Liquid Fund,14199660667.87,82279880.7,172.5776,172.5776,172.5776,2017-09-22
Liquid Fund,14199660667.87,82279880.7,172.5776,172.5776,172.5776,2017-09-22
Liquid Fund,14219635767.34,82426640.25,172.5126,172.5126,172.5126,2017-09-21
Liquid Fund,14219635767.34,82426640.25,172.5126,172.5126,172.5126,2017-09-21
Liquid Fund,14206972979.32,82384679.89,172.4468,172.4468,172.4468,2017-09-20
Liquid Fund,14206972979.32,82384679.89,172.4468,172.4468,172.4468,2017-09-20
Liquid Fund,14116680097.02,81891590.4,172.3825,172.3825,172.3825,2017-09-19
Liquid Fund,14116680097.02,81891590.4,172.3825,172.3825,172.3825,2017-09-19
Liquid Fund,14038566462.54,81468571.59,172.3188,172.3188,172.3188,2017-09-18
Liquid Fund,14038566462.54,81468571.59,172.3188,172.3188,172.3188,2017-09-18
Liquid Fund,14004740922.27,81362835.71,172.127,172.127,172.127,2017-09-15
Liquid Fund,14004740922.27,81362835.71,172.127,172.127,172.127,2017-09-15
Liquid Fund,13992031184.26,81319247.03,172.063,172.063,172.063,2017-09-14
Liquid Fund,13992031184.26,81319247.03,172.063,172.063,172.063,2017-09-14
Liquid Fund,13976343750.99,81257973.75,171.9997,171.9997,171.9997,2017-09-13
Liquid Fund,13976343750.99,81257973.75,171.9997,171.9997,171.9997,2017-09-13
Liquid Fund,13900332746.29,80845706.72,171.9366,171.9366,171.9366,2017-09-12
Liquid Fund,13900332746.29,80845706.72,171.9366,171.9366,171.9366,2017-09-12
