Date Valued,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month
2017-06-13,Jikimu Fund,22597195738.69,181794443.87,124.3008,124.3008,121.8148,2017,6
2017-06-13,Jikimu Fund,22597195738.69,181794443.87,124.3008,124.3008,121.8148,2017,6
2017-06-13,Liquid Fund,12326591956.21,74160779.98,166.2144,166.2144,166.2144,2017,6
2017-06-13,Liquid Fund,12326591956.21,74160779.98,166.2144,166.2144,166.2144,2017,6
2017-06-12,Umoja Fund,198072549795.89,403520978.43,490.8606,490.8606,485.952,2017,6
2017-06-12,Umoja Fund,198072549795.89,403520978.43,490.8606,490.8606,485.952,2017,6
2017-06-12,Wekeza Maisha Fund,3726603944.95,11526549.26,323.3061,323.3061,316.84,2017,6
2017-06-12,Wekeza Maisha Fund,3726603944.95,11526549.26,323.3061,323.3061,316.84,2017,6
2017-06-12,Watoto Fund,3352312925.5,11687798.96,286.8216,286.8216,283.9534,2017,6
2017-06-12,Watoto Fund,3352312925.5,11687798.96,286.8216,286.8216,283.9534,2017,6
2017-06-12,Jikimu Fund,22579997591.79,181710259.94,124.2637,124.2637,121.7785,2017,6
2017-06-12,Jikimu Fund,22579997591.79,181710259.94,124.2637,124.2637,121.7785,2017,6
2017-06-12,Liquid Fund,12309441915.36,74085850.45,166.1511,166.1511,166.1511,2017,6
2017-06-12,Liquid Fund,12309441915.36,74085850.45,166.1511,166.1511,166.1511,2017,6
2017-06-09,Umoja Fund,198319978296.3,404213093.96,490.6322,490.6322,485.7259,2017,6
2017-06-09,Umoja Fund,198319978296.3,404213093.96,490.6322,490.6322,485.7259,2017,6
2017-06-09,Wekeza Maisha Fund,3725613797.2,11527549.01,323.1922,323.1922,316.7283,2017,6
2017-06-09,Wekeza Maisha Fund,3725613797.2,11527549.01,323.1922,323.1922,316.7283,2017,6
2017-06-09,Watoto Fund,3352200606.35,11688153.49,286.8033,286.8033,283.9352,2017,6
2017-06-09,Watoto Fund,3352200606.35,11688153.49,286.8033,286.8033,283.9352,2017,6
2017-06-09,Jikimu Fund,22587375986.37,181845360.83,124.212,124.212,121.7278,2017,6
2017-06-09,Jikimu Fund,22587375986.37,181845360.83,124.212,124.212,121.7278,2017,6
2017-06-09,Liquid Fund,12473242058.46,75158406.56,165.9594,165.9594,165.9594,2017,6
2017-06-09,Liquid Fund,12473242058.46,75158406.56,165.9594,165.9594,165.9594,2017,6
2017-06-08,Umoja Fund,198297421211.06,404208081.13,490.5825,490.5825,485.6767,2017,6
2017-06-08,Umoja Fund,198297421211.06,404208081.13,490.5825,490.5825,485.6767,2017,6
2017-06-08,Wekeza Maisha Fund,3726991546.85,11527417.56,323.3154,323.3154,316.8491,2017,6
2017-06-08,Wekeza Maisha Fund,3726991546.85,11527417.56,323.3154,323.3154,316.8491,2017,6
2017-06-08,Watoto Fund,3353379595.49,11687369.27,286.9234,286.9234,284.0542,2017,6
2017-06-08,Watoto Fund,3353379595.49,11687369.27,286.9234,286.9234,284.0542,2017,6
2017-06-08,Jikimu Fund,22580889179.89,181840234.34,124.1798,124.1798,121.6962,2017,6
2017-06-08,Jikimu Fund,22580889179.89,181840234.34,124.1798,124.1798,121.6962,2017,6
2017-06-08,Liquid Fund,12630113950.05,76132877.78,165.8957,165.8957,165.8957,2017,6
2017-06-08,Liquid Fund,12630113950.05,76132877.78,165.8957,165.8957,165.8957,2017,6
2017-06-07,Umoja Fund,198540067037.48,404206490.85,491.1848,491.1848,486.2729,2017,6
2017-06-07,Umoja Fund,198540067037.48,404206490.85,491.1848,491.1848,486.2729,2017,6
2017-06-07,Wekeza Maisha Fund,3725890128.29,11526602.45,323.2427,323.2427,316.7778,2017,6
2017-06-07,Wekeza Maisha Fund,3725890128.29,11526602.45,323.2427,323.2427,316.7778,2017,6
2017-06-07,Watoto Fund,3350318440.51,11679281.71,286.86,286.86,283.9914,2017,6
2017-06-07,Watoto Fund,3350318440.51,11679281.71,286.86,286.86,283.9914,2017,6
2017-06-07,Jikimu Fund,22616569546.25,181840234.34,124.376,124.376,121.8885,2017,6
2017-06-07,Jikimu Fund,22616569546.25,181840234.34,124.376,124.376,121.8885,2017,6
2017-06-07,Liquid Fund,12581697025.36,75869621.15,165.8331,165.8331,165.8331,2017,6
2017-06-07,Liquid Fund,12581697025.36,75869621.15,165.8331,165.8331,165.8331,2017,6
2017-06-06,Umoja Fund,198555860950.86,404331122.9,491.0724,491.0724,486.1617,2017,6
2017-06-06,Umoja Fund,198555860950.86,404331122.9,491.0724,491.0724,486.1617,2017,6
2017-06-06,Wekeza Maisha Fund,3725155396.58,11526972.0,323.1686,323.1686,316.7052,2017,6
2017-06-06,Wekeza Maisha Fund,3725155396.58,11526972.0,323.1686,323.1686,316.7052,2017,6
2017-06-06,Watoto Fund,3366208914.83,11737286.59,286.7962,286.7962,283.9282,2017,6
2017-06-06,Watoto Fund,3366208914.83,11737286.59,286.7962,286.7962,283.9282,2017,6
