Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Bond Fund,30449867143.36,291429152.49,104.4846,104.4846,104.4846,2020-02-26
Bond Fund,30160444687.21,288769061.86,104.4449,104.4449,104.4449,2020-02-25
Bond Fund,30130710578.18,288598507.9,104.4036,104.4036,104.4036,2020-02-24
Bond Fund,30072271831.93,288147582.24,104.3641,104.3641,104.3641,2020-02-23
Bond Fund,29959447091.67,287392317.11,104.2458,104.2458,104.2458,2020-02-20
Bond Fund,29800292666.8,285973937.73,104.2063,104.2063,104.2063,2020-02-19
Bond Fund,29738893448.57,285493309.52,104.1667,104.1667,104.1667,2020-02-18
Bond Fund,29551889370.53,283805574.24,104.1272,104.1272,104.1272,2020-02-17
Bond Fund,29392930216.41,282380814.11,104.0897,104.0897,104.0897,2020-02-16
Bond Fund,29114708160.78,280025212.3,103.9717,103.9717,103.9717,2020-02-13
Bond Fund,29079959260.04,279797652.4,103.9321,103.9321,103.9321,2020-02-12
Bond Fund,29022580642.23,279388383.18,103.879,103.879,103.879,2020-02-11
Bond Fund,28900876276.56,278317719.29,103.8413,103.8413,103.8413,2020-02-10
Bond Fund,28839847954.67,277833080.84,103.8028,103.8028,103.8028,2020-02-09
Bond Fund,28776840331.81,277528389.86,103.6897,103.6897,103.6897,2020-02-06
Bond Fund,28660258130.52,276505273.88,103.6518,103.6518,103.6518,2020-02-05
Bond Fund,28706179197.89,277049673.7,103.6138,103.6138,103.6138,2020-02-04
Bond Fund,28275540087.54,272989448.85,103.5774,103.5774,103.5774,2020-02-03
Bond Fund,28173536874.61,272105119.7,103.5392,103.5392,103.5392,2020-02-02
Bond Fund,28390718259.69,271878658.15,104.4242,104.4242,104.4242,2020-01-30
Bond Fund,28364013456.47,271733198.57,104.3818,104.3818,104.3818,2020-01-29
Bond Fund,28341636439.1,271617461.97,104.3439,104.3439,104.3439,2020-01-28
Bond Fund,27760913495.99,266147628.27,104.3064,104.3064,104.3064,2020-01-27
Bond Fund,27632983675.24,265018285.01,104.2682,104.2682,104.2682,2020-01-26
Bond Fund,27480276887.36,263844730.97,104.1532,104.1532,104.1532,2020-01-23
Bond Fund,27447922227.79,263631147.02,104.1149,104.1149,104.1149,2020-01-22
Bond Fund,27375531653.81,263031393.74,104.0771,104.0771,104.0771,2020-01-21
Bond Fund,27258551966.85,261974452.99,104.0504,104.0504,104.0504,2020-01-20
Bond Fund,27148471031.15,261009827.63,104.0132,104.0132,104.0132,2020-01-19
Bond Fund,27029428607.91,260150002.5,103.8994,103.8994,103.8994,2020-01-16
Bond Fund,26977243222.68,259742806.85,103.8614,103.8614,103.8614,2020-01-15
Bond Fund,26977243222.68,259742806.85,103.8614,103.8614,103.8614,2020-01-15
Bond Fund,26937838640.82,259458049.61,103.8235,103.8235,103.8235,2020-01-14
Bond Fund,26831500689.96,258528529.14,103.7855,103.7855,103.7855,2020-01-13
Bond Fund,26809619974.02,258412800.19,103.7473,103.7473,103.7473,2020-01-12
Bond Fund,26684787471.25,257493707.24,103.6328,103.6328,103.6328,2020-01-09
Bond Fund,26590032444.63,256674250.71,103.5945,103.5945,103.5945,2020-01-08
Bond Fund,25924422126.02,250340405.16,103.5567,103.5567,103.5567,2020-01-07
