Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday,Target_NAV
398249.581366296,21.08126289666178,110.8752,110.8752,110.8752,2022,2,4,4,317478.56850478903
396469.7838287932,21.072617809309317,110.8405,110.8405,110.8405,2022,2,3,3,317037.4269263962
393988.12449960975,21.06036653655053,110.8065,110.8065,110.8065,2022,2,2,2,316682.56654369214
392671.0311447357,21.053984639001936,110.7716,110.7716,110.7716,2022,2,1,1,315418.82505156536
393516.63276195835,21.04964280363101,111.7333,111.7333,111.7333,2022,1,31,0,314028.4531305245
392382.0868774338,21.044811016160377,111.628,111.628,111.628,2022,1,28,4,315470.50664599374
391503.58059480117,21.0406425435331,111.5929,111.5929,111.5929,2022,1,27,3,315211.8562024595
390628.6925055941,21.03648726373084,111.5573,111.5573,111.5573,2022,1,26,2,314795.2677223405
390043.78752270876,21.03380706274843,111.522,111.522,111.522,2022,1,25,1,314195.427729399
389945.7676386295,21.03362869254054,111.4858,111.4858,111.4858,2022,1,24,0,314419.4072717045
389215.9277658611,21.030820911026865,111.3812,111.3812,111.3812,2022,1,21,4,314071.3038581844
388674.6037401852,21.028343699333682,111.347,111.347,111.347,2022,1,20,3,313562.47914772906
388392.5979298653,21.027198983204098,111.3129,111.3129,111.3129,2022,1,19,2,312878.65407815855
387826.544836374,21.02459017123136,111.2786,111.2786,111.2786,2022,1,18,1,311786.79355288605
387080.1156801393,21.021045363598983,111.2443,111.2443,111.2443,2022,1,17,0,311101.0301455622
386845.6869899935,21.02076592868669,111.1406,111.1406,111.1406,2022,1,14,4,310145.1913683332
386782.8921912136,21.020751662811392,111.1061,111.1061,111.1061,2022,1,13,3,309657.30565387924
386264.227802485,21.01868881103645,111.0372,111.0372,111.0372,2022,1,11,1,309201.00003958587
385527.03150916664,21.015179630117302,111.0026,111.0026,111.0026,2022,1,10,0,308981.95096513326
384840.2725030087,21.01255227935067,110.8985,110.8985,110.8985,2022,1,7,4,308271.58622769633
383595.8137586488,21.006405730808375,110.8617,110.8617,110.8617,2022,1,6,3,307352.51143597317
383188.54568525404,21.00459551025603,110.8269,110.8269,110.8269,2022,1,5,2,307040.71835733776
382837.89238357794,21.00308786631337,110.791,110.791,110.791,2022,1,4,1,306188.7290540591
381753.11419243197,20.997720728271748,110.7569,110.7569,110.7569,2022,1,3,0,305680.27398366743
382970.7374486725,20.996040837117498,111.652,111.652,111.652,2021,12,31,4,306362.8660460174
382463.93349027046,20.99370179348986,111.6175,111.6175,111.6175,2021,12,30,3,307379.2004748532
