Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,219688651098.15,387589857.99,566.807,566.807,561.1389,2018-11-09
Umoja Fund,219670066047.84,387580385.42,566.7729,566.7729,561.1052,2018-11-08
Umoja Fund,219654679250.63,387576567.74,566.7388,566.7388,561.0714,2018-11-07
Umoja Fund,219971327867.6,388158046.82,566.7056,566.7056,561.0385,2018-11-06
Umoja Fund,219995026289.39,388139138.47,566.7942,566.7942,561.1263,2018-11-05
Umoja Fund,219918040655.09,388117852.97,566.627,566.627,560.9607,2018-11-02
Umoja Fund,219898435146.59,388106669.02,566.5928,566.5928,560.9268,2018-11-01
Umoja Fund,219895406205.64,388116424.14,566.5707,566.5707,560.905,2018-10-31
Umoja Fund,221631881970.27,388511898.55,570.4636,570.4636,564.7589,2018-10-30
Umoja Fund,221610508875.09,388496577.06,570.431,570.431,564.7267,2018-10-29
Umoja Fund,221556498832.78,388468228.74,570.3336,570.3336,564.6303,2018-10-26
Umoja Fund,221540797334.39,388462892.91,570.3011,570.3011,564.598,2018-10-25
Umoja Fund,221466749989.14,388357674.4,570.2649,570.2649,564.5623,2018-10-24
Umoja Fund,221446245554.49,388343919.8,570.2323,570.2323,564.53,2018-10-23
Umoja Fund,221635514690.83,388688146.75,570.2142,570.2142,564.5121,2018-10-22
Umoja Fund,221584571448.7,388665261.94,570.1167,570.1167,564.4156,2018-10-19
Umoja Fund,221584132698.39,388682342.78,570.0906,570.0906,564.3896,2018-10-18
Umoja Fund,221653877414.49,388659038.07,570.3042,570.3042,564.6011,2018-10-17
Umoja Fund,221644785317.52,388651368.85,570.292,570.292,564.5891,2018-10-16
Umoja Fund,221732223164.25,388824656.31,570.2628,570.2628,564.5601,2018-10-15
Umoja Fund,221184215182.44,388817460.65,568.8639,568.8639,563.1753,2018-10-12
Umoja Fund,223899140315.56,388807058.96,575.8618,575.8618,570.1032,2018-10-11
Umoja Fund,223884432798.39,388802755.33,575.8304,575.8304,570.0721,2018-10-10
Umoja Fund,224175554833.96,389329679.65,575.7988,575.7988,570.0408,2018-10-09
Umoja Fund,224154933610.11,389310691.59,575.7739,575.7739,570.0162,2018-10-08
Umoja Fund,224073275986.63,389236362.38,575.6741,575.6741,569.9173,2018-10-05
Umoja Fund,224063722211.48,389239895.96,575.6443,575.6443,569.8878,2018-10-04
Umoja Fund,224033370439.57,389208281.22,575.6131,575.6131,569.8569,2018-10-03
Umoja Fund,224171057897.54,389473386.8,575.5748,575.5748,569.819,2018-10-02
Umoja Fund,389387250.3,224109340475.76,575.5436,575.5436,569.7882,2018-10-01
Umoja Fund,224072966642.72,389387250.3,575.4502,575.4502,569.6957,2018-09-28
Umoja Fund,224051601982.98,389371246.31,575.419,575.419,569.6648,2018-09-27
Umoja Fund,224025777681.39,389347488.12,575.3878,575.3878,569.6339,2018-09-26
Umoja Fund,224011146866.41,389343196.1,575.3565,575.3565,569.603,2018-09-25
Umoja Fund,224175026236.77,389646632.98,575.329,575.329,569.5758,2018-09-24
Umoja Fund,224322260029.28,389581976.14,575.8025,575.8025,570.0444,2018-09-21
Umoja Fund,224284753322.22,389573747.09,575.7183,575.7183,569.9612,2018-09-20
